,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,699,TE Bitola,MK,STUR,LIG,0.34,6,1.5,0.025,0.025,73395,0,1.8,0.133333,0.29,6,1.062,,,,,,
1,125,TE Oslomej,MK,STUR,LIG,0.34,6,1.5,0.025,0.025,13125,0,1.8,0.4,0.29,6,1.062,,,,,,
2,150,HE Vrutok,MK,HDAM,WAT,0.910149988,0,0,1,1,0,0,0,0,0.5,1,0,,,324751.9,,,
3,114,HE Tikvesh,MK,HDAM,WAT,0.883899,0,0,1,1,0,0,0,0,0.5,1,0,,,77026.2,,,
4,84,HE Shpilje,MK,HDAM,WAT,0.930567,0,0,1,1,0,0,0,0,0.5,1,0,,,51773.9,,,
5,80,HE Kozjak,MK,HDAM,WAT,0.886409,0,0,1,1,0,0,0,0,0.5,1,0,,,65182,,,
6,42,HE Globochica,MK,HDAM,WAT,0.898601,0,0,1,1,0,0,0,0,0.5,1,0,,,3427.6,,,
7,19.2,HE Raven,MK,HROR,WAT,0.826514571,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
8,12.8,HE Vrben,MK,HROR,WAT,0.832137,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
9,8,HE Matka ,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
10,4.1,HE Dosnica,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
11,13.8,HE Kalimanci,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
12,2.7,HE Pesocani,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
13,4.8,HE Popova Sapka,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
14,2.5,HE Pena cascade,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
15,2.9,HE Sapuncica,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
16,3.4,HE Strezevo 1,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
17,2.2,HE Turija,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
18,1.4,HE Zrnovci,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
19,564,New Gas MK,MK,COMC,GAS,0.57,2,2,0.06,0.06,33840,0,0.5,0.02394,0.49,3,0.398,,,,,,
20,10,New Biomass MK,MK,STUR,BIO,0.34,6,1.5,0.025,0.025,570,0,1.8,0.4,0.29,6,0.123,,,,,,
21,36.4,HPP Sveta Petka,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
22,68.2,HPP Boskov Most,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
23,193.5,HPP Galiste,MK,HDAM,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
24,8,HPP Lukovo Pole,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
25,54.6,HPP Gradec,MK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
26,333,HPP Chebren,MK,HDAM,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
27,180,New Wind MK,MK,WTON,WIN,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
28,30,New Solar MK,MK,PHOT,SUN,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
