,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
BG_STUR_GEO,BG_STUR_GEO,38.09090909090909,11.0,BG,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
BG_STUR_NUC,BG_STUR_NUC,797.25,4.0,BG,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
BG_GTUR_GAS,BG_GTUR_GAS,61.11764705882353,17.0,BG,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,
BG_HROR_WAT,BG_HROR_WAT,1984.0,1,BG,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
BG_WTON_WIN,BG_WTON_WIN,1224.0,1,BG,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
BG_PHOT_SUN,BG_PHOT_SUN,31969.0,1,BG,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
BG_P2HT_OTH,BG_P2HT_OTH,0.0029999982259028826,1127334.0,BG,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1409921671018277,5.0,0.02342638697357937,0.0009351272777861802,,,,
BG_P2GS_HYD,BG_P2GS_HYD,2357.0,1,BG,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,12466666.666666668,0.0,31217.0,0.72
BG_STUR_BIO_CHP,BG_STUR_BIO_CHP,109.0,1.0,BG,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,back-pressure,0.45,0.0,,,,,,,,
BG_GTUR_GAS_CHP,BG_GTUR_GAS_CHP,40.5,2.0,BG,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.6839,back-pressure,0.55,0.0,,,,,,,,
