,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
EL_STUR_LIG,EL_STUR_LIG,416.5,2.0,EL,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,,
EL_COMC_GAS,EL_COMC_GAS,417.8421052631579,19.0,EL,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
EL_STUR_OIL,EL_STUR_OIL,251.0,1.0,EL,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,,
EL_HDAM_WAT,EL_HDAM_WAT,2358.0,1,EL,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,11790.0,0.0,0.0,0.9,
EL_HROR_WAT,EL_HROR_WAT,49.0,1,EL,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
EL_WTON_WIN,EL_WTON_WIN,6791.0,1,EL,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
EL_PHOT_SUN,EL_PHOT_SUN,95597.0,1,EL,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
EL_STUR_SUN,EL_STUR_SUN,149.89380530973452,113.0,EL,STUR,SUN,0.25,0,0,0.02,0.02,0,0.0,0.0,0.0,0.2,1.0,0.0,,,,,,,,2248.407079646018,0.03,0.0,0.95,
EL_BATS_OTH,EL_BATS_OTH,563611.1111111111,1,EL,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,2254444.4444444445,0.0,0.0,0.9,
EL_BEVS_OTH,EL_BEVS_OTH,37172.0,1,EL,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,152405.19999999998,0.0,37172.0,0.88,
EL_P2GS_HYD,EL_P2GS_HYD,378.0,1,EL,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.0,0.46,0.0,0.0,,,,,,,,47059444.44444444,0.0,121639.0,0.7,
EL_STUR_BIO_CHP,EL_STUR_BIO_CHP,133.66666666666666,3.0,EL,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3564.4444444444443,0.03,,,
EL_COMC_GAS_CHP,EL_COMC_GAS_CHP,21.0,1.0,EL,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,265.2631578947368,0.03,,,
