,PHOT,WTOF,WTON
2016-01-01 00:00:00,0.0,0,9e-06
2016-01-01 01:00:00,0.0,0,2e-06
2016-01-01 02:00:00,0.0,0,0.0
2016-01-01 03:00:00,0.0,0,3e-06
2016-01-01 04:00:00,0.0,0,1.8e-05
2016-01-01 05:00:00,0.0,0,0.000117
2016-01-01 06:00:00,0.12,0,0.000173
2016-01-01 07:00:00,0.284,0,0.00022999999999999998
2016-01-01 08:00:00,0.415,0,0.000802
2016-01-01 09:00:00,0.513,0,0.002553
2016-01-01 10:00:00,0.555,0,0.004437
2016-01-01 11:00:00,0.5429999999999999,0,0.005461
2016-01-01 12:00:00,0.47600000000000003,0,0.004806
2016-01-01 13:00:00,0.359,0,0.001308
2016-01-01 14:00:00,0.13,0,2.9999999999999997e-05
2016-01-01 15:00:00,0.0,0,0.000174
2016-01-01 16:00:00,0.0,0,1.4000000000000001e-05
2016-01-01 17:00:00,0.0,0,0.0
2016-01-01 18:00:00,0.0,0,0.0
2016-01-01 19:00:00,0.0,0,0.0
2016-01-01 20:00:00,0.0,0,0.0
2016-01-01 21:00:00,0.0,0,0.0
2016-01-01 22:00:00,0.0,0,3e-06
2016-01-01 23:00:00,0.0,0,0.003961999999999999
2016-01-02 00:00:00,0.0,0,0.019673
2016-01-02 01:00:00,0.0,0,0.027514
2016-01-02 02:00:00,0.0,0,0.035956
2016-01-02 03:00:00,0.0,0,0.057324
2016-01-02 04:00:00,0.0,0,0.085766
2016-01-02 05:00:00,0.0,0,0.10675899999999999
2016-01-02 06:00:00,0.083,0,0.10955999999999999
2016-01-02 07:00:00,0.244,0,0.07681
2016-01-02 08:00:00,0.374,0,0.101372
2016-01-02 09:00:00,0.467,0,0.099389
2016-01-02 10:00:00,0.508,0,0.075156
2016-01-02 11:00:00,0.49,0,0.049678
2016-01-02 12:00:00,0.374,0,0.025186
2016-01-02 13:00:00,0.21100000000000002,0,0.003218
2016-01-02 14:00:00,0.061,0,5e-06
2016-01-02 15:00:00,0.0,0,3.8e-05
2016-01-02 16:00:00,0.0,0,0.009738
2016-01-02 17:00:00,0.0,0,0.029376
2016-01-02 18:00:00,0.0,0,0.039795
2016-01-02 19:00:00,0.0,0,0.060747
2016-01-02 20:00:00,0.0,0,0.083848
2016-01-02 21:00:00,0.0,0,0.07736
2016-01-02 22:00:00,0.0,0,0.070594
2016-01-02 23:00:00,0.0,0,0.070625
2016-01-03 00:00:00,0.0,0,0.076902
2016-01-03 01:00:00,0.0,0,0.07986
2016-01-03 02:00:00,0.0,0,0.085925
2016-01-03 03:00:00,0.0,0,0.080596
2016-01-03 04:00:00,0.0,0,0.07539
2016-01-03 05:00:00,0.0,0,0.09560700000000001
2016-01-03 06:00:00,0.006,0,0.168733
