,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
PT_STUR_GEO,PT_STUR_GEO,39.11764705882353,17.0,PT,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
PT_COMC_GAS,PT_COMC_GAS,411.2777777777777,18.0,PT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
PT_HDAM_WAT,PT_HDAM_WAT,1814.0,1,PT,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,2897771.0,0.0,0.0,0.9,
PT_HPHS_WAT,PT_HPHS_WAT,1633.0,1,PT,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,8165.0,0.0,1633.0,0.9,
PT_HROR_WAT,PT_HROR_WAT,2203.0,1,PT,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
PT_WTON_WIN,PT_WTON_WIN,7289.999999999999,1,PT,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
PT_PHOT_SUN,PT_PHOT_SUN,44666.0,1,PT,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
PT_STUR_SUN,PT_STUR_SUN,149.08256880733944,109.0,PT,STUR,SUN,0.25,0,0,0.02,0.02,0,0.0,0.0,0.0,0.2,1.0,0.0,,,,,,,,2236.2385321100915,0.03,0.0,0.95,
PT_BATS_OTH,PT_BATS_OTH,1508055.5555555557,1,PT,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,6032222.222222223,0.0,0.0,0.9,
PT_BEVS_OTH,PT_BEVS_OTH,57343.0,1,PT,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,235106.3,0.0,57343.0,0.88,
PT_STUR_BIO_CHP,PT_STUR_BIO_CHP,165.57142857142858,7.0,PT,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4415.238095238095,0.03,,,
PT_COMC_GAS_CHP,PT_COMC_GAS_CHP,300.0,1.0,PT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,3789.4736842105262,0.03,,,
