PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
1046,TIHANGE 3,BE,STUR,NUC,0.405,24,24,0.0032791587,0.0032791587,200000,0,0,0.9,0.405,0,0,,,,,,
1038,DOEL 4,BE,STUR,NUC,0.405,24,24,0.0033044316,0.0033044316,200000,0,0,0.9,0.405,0,0,,,,,,
1008,TIHANGE 2,BE,STUR,NUC,0.405,24,24,0.0034027778,0.0034027778,200000,0,0,0.9,0.405,0,0,,,,,,
1006,DOEL 3,BE,STUR,NUC,0.405,24,24,0.0034095427,0.0034095427,200000,0,0,0.9,0.405,0,0,,,,,,
690,COO II T,BE,HPHS,WAT,0.86,0,0,0.4347826087,0.4347826087,0,0,0,0,0.86,0,0,,,3105,0,690,0.86
481,TIHANGE 1N,BE,STUR,NUC,0.405,24,24,0.0071309771,0.0071309771,200000,0,0,0.9,0.405,0,0,,,,,,
481,TIHANGE 1S,BE,STUR,NUC,0.405,24,24,0.0071309771,0.0071309771,200000,0,0,0.9,0.405,0,0,,,,,,
474,COO I T,BE,HPHS,WAT,0.86,0,0,0.6329113924,0.6329113924,0,0,0,0,0.86,0,0,,,2133,0,474,0.86
465,DROGENBOS TGV,BE,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
465,HERDERSBRUG STEG,BE,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
451,Amercoeur 1 R TGV,BE,COMC,GAS,0.525,5,1,0.024767184,0.024767184,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
433,DOEL 1,BE,STUR,NUC,0.405,24,24,0.0079214781,0.0079214781,200000,0,0,0.9,0.405,0,0,,,,,,
433,DOEL 2,BE,STUR,NUC,0.405,24,24,0.0079214781,0.0079214781,200000,0,0,0.9,0.405,0,0,,,,,,
422,T-power Beringen,BE,COMC,GAS,0.525,5,1,0.0264691943,0.0264691943,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
405,Marcinelle Energie (Carsid),BE,COMC,GAS,0.525,5,1,0.0275802469,0.0275802469,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
384,Zandvliet Power,BE,COMC,GAS,0.525,5,1,0.0290885417,0.0290885417,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
376,ESCH-SUR-ALZETTE STEG,BE,COMC,GAS,0.525,5,1,0.0297074468,0.0297074468,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
357,RINGVAART STEG,BE,COMC,GAS,0.525,5,1,0.0312885154,0.0312885154,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
350,SAINT-GHISLAIN STEG,BE,COMC,GAS,0.525,5,1,0.0319142857,0.0319142857,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
315,Zelzate 2 Knippegroen,BE,COMC,GAS,0.525,5,1,0.0354603175,0.0354603175,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
268,RODENHUIZE 4,BE,STUR,BIO,0.45,8,6,0.0186567164,0.0186567164,2000,0,0,0.2,0.45,0,0,,,,,,
235,LANGERLO 1,BE,STUR,HRD,0.395,8,6,0.0212765957,0.0212765957,117242.17,0,0,0.3,0.395,0,0.95,,,,,,
235,LANGERLO 2,BE,STUR,HRD,0.395,8,6,0.0212765957,0.0212765957,117242.17,0,0,0.3,0.395,0,0.95,,,,,,
214,Northwind,BE,WTOF,WIN,1,0,0,0.6542056075,0.6542056075,0,0,0,0,1,0,0,,,,,,
178,Thorntonbank - C-Power - Area SW,BE,WTOF,WIN,1,0,0,0.7865168539,0.7865168539,0,0,0,0,1,0,0,,,,,,
171,Belwind Phase 1,BE,WTOF,WIN,1,0,0,0.8187134503,0.8187134503,0,0,0,0,1,0,0,,,,,,
150,Thorntonbank - C-Power - Area NE,BE,WTOF,WIN,1,0,0,0.9333333333,0.9333333333,0,0,0,0,1,0,0,,,,,,
144,PLATE TAILLE T,BE,HPHS,WAT,0.86,0,0,2.0833333333,2.0833333333,0,0,0,0,0.86,0,0,,,648,0,144,0.86
140,Scheldelaan Exxonmobil,BE,COMC,GAS,0.525,5,1,0.0797857143,0.0797857143,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
138,INESCO WKK,BE,COMC,GAS,0.525,5,1,0.080942029,0.080942029,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
2953,DispaSET PHOT_BE,BE,PHOT,SUN,1,0,0,0.3047748053,0.3047748053,0,0,0,0,1,0,0,,,,,,
1249,DispaSET WindOn_BE,BE,WTON,WIN,1,0,0,0.1080864692,0.1080864692,0,0,0,0,1,0,0,,,,,,
1412,DispaSET FossilGas_BE1,BE,COMC,GAS,0.525,5,1,0.0079107649,0.0079107649,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
448,DispaSET Biomass_BE,BE,STUR,BIO,0.45,8,6,0.0111607143,0.0111607143,2000,0,0,0.2,0.45,0,0,,,,,,
500,DispaSET FossilGas_BE2,BE,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
500,DispaSET FossilGas_BE3,BE,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,0,0,0.4,0.525,0,0.45,,,,,,
