,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
IE_STUR_GEO,IE_STUR_GEO,39.75,8.0,IE,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
IE_COMC_GAS,IE_COMC_GAS,409.8333333333333,12.0,IE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
IE_STUR_HRD,IE_STUR_HRD,2.0,1.0,IE,STUR,HRD,0.42,6,6,0.04,0.04,65,12.5,1.8,0.182119205,0.46,2.0,0.4717,,,,,,,,,,,,
IE_HDAM_WAT,IE_HDAM_WAT,215.0,1,IE,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1075.0,0.0,0.0,0.9,
IE_HPHS_WAT,IE_HPHS_WAT,178.0,1,IE,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,890.0,0.0,178.0,0.9,
IE_HROR_WAT,IE_HROR_WAT,2809.0,1,IE,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
IE_WTOF_WIN,IE_WTOF_WIN,1000.0,1,IE,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
IE_WTON_WIN,IE_WTON_WIN,4396.0,1,IE,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
IE_BATS_OTH,IE_BATS_OTH,1001111.1111111111,1,IE,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,4004444.4444444445,0.0,0.0,0.9,
IE_BEVS_OTH,IE_BEVS_OTH,51751.0,1,IE,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,212179.09999999998,0.0,51751.0,0.88,
IE_STUR_BIO_CHP,IE_STUR_BIO_CHP,136.25,4.0,IE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3633.333333333333,0.03,,,
IE_COMC_GAS_CHP,IE_COMC_GAS_CHP,379.0,1.0,IE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4787.368421052632,0.03,,,
